time,pair,profit,buy_exchange,sell_exchange,slippage,maker_fee,taker_fee
18:54:16,DOT/USDT,4.6487559155321545,coinex,bittrex,0.005,0.002,0.002
18:55:07,DOT/USDT,4.450208723380333,binance,bittrex,0.005,0.002,0.002
18:55:28,DOT/USDT,3.2030642972963985,gateio,bittrex,0.005,0.002,0.002
18:55:52,DOT/USDT,3.3918980292055423,binance,bittrex,0.005,0.002,0.002
18:56:14,DOT/USDT,3.334610032469687,gateio,bittrex,0.005,0.002,0.002
18:56:37,DOT/USDT,3.280504410946561,binance,bittrex,0.005,0.002,0.002
18:56:59,DOT/USDT,3.310324952797372,gateio,bittrex,0.005,0.002,0.002
18:57:23,DOT/USDT,3.272532028251751,binance,bittrex,0.005,0.002,0.002
18:57:45,DOT/USDT,3.183531840558995,binance,bittrex,0.005,0.002,0.002
18:58:11,DOT/USDT,3.18214781975783,gateio,bittrex,0.005,0.002,0.002
18:58:34,DOT/USDT,3.303388427014675,gateio,bittrex,0.005,0.002,0.002
18:58:56,DOT/USDT,3.2619429176875547,gateio,bittrex,0.005,0.002,0.002
18:59:18,DOT/USDT,3.2527041357370168,gateio,bittrex,0.005,0.002,0.002
18:59:40,DOT/USDT,3.2790681640392005,huobipro,bittrex,0.005,0.002,0.002
19:00:03,DOT/USDT,3.2312064726891965,coinex,bittrex,0.005,0.002,0.002
19:00:32,DOT/USDT,3.3898727456738387,huobipro,bittrex,0.005,0.002,0.002
19:00:56,DOT/USDT,3.6785760155987335,huobipro,bittrex,0.005,0.002,0.002
19:01:18,DOT/USDT,4.067054069398512,gateio,bittrex,0.005,0.002,0.002
19:01:40,DOT/USDT,4.218022621922257,binance,bittrex,0.005,0.002,0.002
19:02:04,DOT/USDT,4.551821780849474,gateio,bittrex,0.005,0.002,0.002
19:02:26,DOT/USDT,4.7940950971820495,huobipro,bittrex,0.005,0.002,0.002
19:02:49,DOT/USDT,4.448835260599959,coinex,bittrex,0.005,0.002,0.002
19:03:13,DOT/USDT,3.637405023967677,hitbtc,bittrex,0.005,0.002,0.002
19:03:37,DOT/USDT,3.2735167384819297,coinex,bittrex,0.005,0.002,0.002
19:04:01,DOT/USDT,2.789141842525633,hitbtc,bittrex,0.005,0.002,0.002
19:04:24,DOT/USDT,2.257435823374365,binance,bittrex,0.005,0.002,0.002
19:04:49,DOT/USDT,1.9620401017615752,hitbtc,bittrex,0.005,0.002,0.002
19:05:12,DOT/USDT,1.4794921210746992,hitbtc,bittrex,0.005,0.002,0.002
19:05:36,DOT/USDT,1.758946756461932,huobipro,bittrex,0.005,0.002,0.002
19:05:59,DOT/USDT,1.6602590453818733,huobipro,bittrex,0.005,0.002,0.002
19:06:21,DOT/USDT,2.282310469314086,gateio,bittrex,0.005,0.002,0.002
19:06:46,DOT/USDT,2.2616372876129054,binance,bittrex,0.005,0.002,0.002
19:07:11,DOT/USDT,2.216512016787431,gateio,bittrex,0.005,0.002,0.002
19:07:33,DOT/USDT,2.1570817250666785,hitbtc,bittrex,0.005,0.002,0.002
19:08:02,DOT/USDT,2.290339511235029,coinex,bittrex,0.005,0.002,0.002
19:08:25,DOT/USDT,2.3067410201738525,coinex,bittrex,0.005,0.002,0.002
19:08:48,DOT/USDT,2.323142529112676,coinex,bittrex,0.005,0.002,0.002
19:09:10,DOT/USDT,2.3395440380515,coinex,bittrex,0.005,0.002,0.002
19:09:34,DOT/USDT,2.233327707380539,hitbtc,bittrex,0.005,0.002,0.002
19:09:59,DOT/USDT,2.0942862631732506,hitbtc,bittrex,0.005,0.002,0.002
19:10:23,DOT/USDT,2.2340400432545815,gateio,bittrex,0.005,0.002,0.002
19:10:47,DOT/USDT,2.347191656143921,huobipro,bittrex,0.005,0.002,0.002
19:11:17,DOT/USDT,2.6726363576551115,gateio,bittrex,0.005,0.002,0.002
19:11:44,DOT/USDT,2.974649467190127,gateio,bittrex,0.005,0.002,0.002
19:12:06,DOT/USDT,3.2845535448440044,gateio,bittrex,0.005,0.002,0.002
19:12:30,DOT/USDT,3.478129773527261,gateio,bittrex,0.005,0.002,0.002
19:12:59,DOT/USDT,3.750486083366611,gateio,bittrex,0.005,0.002,0.002
19:13:28,DOT/USDT,3.9022852666144248,huobipro,bittrex,0.005,0.002,0.002
19:13:55,DOT/USDT,4.072018247851061,hitbtc,bittrex,0.005,0.002,0.002
19:14:20,DOT/USDT,3.978679088881898,hitbtc,bittrex,0.005,0.002,0.002
19:14:44,DOT/USDT,3.4310482009788146,hitbtc,bittrex,0.005,0.002,0.002
19:15:29,DOT/USDT,3.7137781533967074,huobipro,bittrex,0.005,0.002,0.002
19:15:52,DOT/USDT,3.711819598025734,hitbtc,bittrex,0.005,0.002,0.002
19:16:18,DOT/USDT,3.121685329874757,hitbtc,bittrex,0.005,0.002,0.002
19:16:48,DOT/USDT,2.763918945297039,hitbtc,bittrex,0.005,0.002,0.002
19:17:12,DOT/USDT,2.598765022894156,hitbtc,bittrex,0.005,0.002,0.002
19:17:39,DOT/USDT,2.331715643793175,hitbtc,bittrex,0.005,0.002,0.002
19:18:01,DOT/USDT,2.0359751408065785,binance,bittrex,0.005,0.002,0.002
19:18:25,DOT/USDT,2.056402199528673,gateio,bittrex,0.005,0.002,0.002
19:18:49,DOT/USDT,2.4467476243188235,huobipro,bittrex,0.005,0.002,0.002
19:19:12,DOT/USDT,2.6339563042905967,gateio,bittrex,0.005,0.002,0.002
19:19:36,DOT/USDT,2.508471427224146,hitbtc,bittrex,0.005,0.002,0.002
19:19:59,DOT/USDT,2.21432913792996,hitbtc,bittrex,0.005,0.002,0.002
19:20:26,DOT/USDT,1.9623316105188637,hitbtc,bittrex,0.005,0.002,0.002
19:21:03,DOT/USDT,1.888209371698757,hitbtc,bittrex,0.005,0.002,0.002
19:21:27,DOT/USDT,2.11393796623478,gateio,bittrex,0.005,0.002,0.002
19:21:56,DOT/USDT,2.2331535702250216,hitbtc,bittrex,0.005,0.002,0.002
19:22:21,DOT/USDT,2.101664032820172,hitbtc,bittrex,0.005,0.002,0.002
19:22:45,DOT/USDT,2.1697586644333855,hitbtc,bittrex,0.005,0.002,0.002
19:23:09,DOT/USDT,2.1454961732190636,gateio,bittrex,0.005,0.002,0.002
19:23:34,DOT/USDT,2.314282906568055,huobipro,bittrex,0.005,0.002,0.002
19:24:02,DOT/USDT,2.3246674462558348,hitbtc,bittrex,0.005,0.002,0.002
19:24:31,DOT/USDT,2.524785876021407,gateio,bittrex,0.005,0.002,0.002
19:24:59,DOT/USDT,2.7114747115117854,hitbtc,bittrex,0.005,0.002,0.002
19:25:26,DOT/USDT,2.6055942402962495,huobipro,bittrex,0.005,0.002,0.002
19:25:52,DOT/USDT,2.7516008151995175,gateio,bittrex,0.005,0.002,0.002
19:26:17,DOT/USDT,4.386278761674389,huobipro,bittrex,0.005,0.002,0.002
19:26:41,DOT/USDT,4.441598979700179,hitbtc,bittrex,0.005,0.002,0.002
19:27:07,DOT/USDT,4.446275596003568,gateio,bittrex,0.005,0.002,0.002
19:27:33,DOT/USDT,4.767715885931567,hitbtc,bittrex,0.005,0.002,0.002
19:28:00,DOT/USDT,4.706266913785195,hitbtc,bittrex,0.005,0.002,0.002
19:28:24,DOT/USDT,5.0923862920081,gateio,bittrex,0.005,0.002,0.002
19:28:53,DOT/USDT,3.562326496609991,hitbtc,bittrex,0.005,0.002,0.002
19:29:16,DOT/USDT,3.5198743590645787,hitbtc,bittrex,0.005,0.002,0.002
19:29:41,DOT/USDT,3.064144058384888,hitbtc,bittrex,0.005,0.002,0.002
19:30:04,DOT/USDT,2.9890552618806243,hitbtc,bittrex,0.005,0.002,0.002
19:30:34,DOT/USDT,3.163077130646297,hitbtc,bittrex,0.005,0.002,0.002
19:31:00,DOT/USDT,2.677193190307414,hitbtc,bittrex,0.005,0.002,0.002
19:31:23,DOT/USDT,2.6634356595268693,gateio,bittrex,0.005,0.002,0.002
19:31:46,DOT/USDT,2.8840916396991156,hitbtc,bittrex,0.005,0.002,0.002
19:32:10,DOT/USDT,3.0625094779780815,hitbtc,bittrex,0.005,0.002,0.002
19:32:34,DOT/USDT,2.9461624731168534,huobipro,bittrex,0.005,0.002,0.002
19:32:58,DOT/USDT,2.9683075035132456,hitbtc,bittrex,0.005,0.002,0.002
19:33:22,DOT/USDT,2.9806075464652304,hitbtc,bittrex,0.005,0.002,0.002
